Id;CityId;Name;LastUpdate
1260;6;ÇUBUK;2022-09-03 08:10:54.8548497
1261;30;ÇUKURCA;2022-09-03 08:12:54.0323726
1262;42;ÇUMRA;2022-09-03 08:12:29.0074336
1263;21;ÇÜNGÜŞ;2022-09-03 08:12:11.4785772
1264;37;DADAY;2022-09-03 08:09:41.5604891
1265;44;DARENDE;2022-09-03 08:11:21.1518349
1266;48;DATÇA;2022-09-03 08:09:21.6471232
1267;3;DAZKIRI;2022-09-03 08:10:03.6869158
1268;71;DELİCE;2022-09-03 08:10:34.6964976
1269;45;DEMİRCİ;2022-09-03 08:11:08.4554094
1270;39;DEMİRKÖY;2022-09-03 08:11:08.2305574
1272;28;DERELİ;2022-09-03 08:09:59.8704413
1273;47;DERİK;2022-09-03 08:12:59.0462090
1274;50;DERİNKUYU;2022-09-03 08:12:55.6445690
1275;38;DEVELİ;2022-09-03 08:10:54.4607035
1276;67;DEVREK;2022-09-03 08:11:10.7433753
1277;37;DEVREKANİ;2022-09-03 08:11:00.3231396
1278;21;DİCLE;2022-09-03 08:10:40.9158723
1279;36;DİGOR;2022-09-03 08:13:12.3213947
1280;35;DİKİLİ;2022-09-03 08:09:38.2499569
1281;3;DİNAR;2022-09-03 08:10:52.9046494
1282;58;DİVRİĞİ;2022-09-03 08:10:54.2572149
1283;4;DİYADİN;2022-09-03 08:09:14.7922767
1285;42;DOĞANHİSAR;2022-09-03 08:12:57.1718703
1286;44;DOĞANŞEHİR;2022-09-03 08:11:32.8623708
1287;4;DOĞUBAYAZIT;2022-09-03 08:10:35.7651257
1288;43;DOMANİÇ;2022-09-03 08:11:05.4268244
1289;31;DÖRTYOL;2022-09-03 08:09:21.7918631
1290;57;DURAĞAN;2022-09-03 08:10:46.5791207
1291;10;DURSUNBEY;2022-09-03 08:10:24.3350176
1292;81;MERKEZ;2022-09-03 08:13:10.6904016
1293;17;ECEABAT;2022-09-03 08:12:15.5671372
1294;10;EDREMİT;2022-09-03 08:11:28.3950114
1295;22;MERKEZ;2022-09-03 08:10:50.2850301
1296;78;EFLANİ;2022-09-03 08:10:28.7276076
1297;32;EĞİRDİR;2022-09-03 08:12:47.4410346
1298;23;MERKEZ;2022-09-03 08:09:27.3826017
1299;46;ELBİSTAN;2022-09-03 08:10:07.6250366
1300;18;ELDİVAN;2022-09-03 08:10:22.3238040
1301;4;ELEŞKİRT;2022-09-03 08:09:39.1628891
1302;6;ELMADAĞ;2022-09-03 08:09:43.2843450
1303;7;ELMALI;2022-09-03 08:12:32.1774277
1304;43;EMET;2022-09-03 08:10:03.9458793
1306;3;EMİRDAĞ;2022-09-03 08:13:09.2370147
1307;22;ENEZ;2022-09-03 08:11:40.8132325
1308;60;ERBAA;2022-09-03 08:11:31.5586875
1309;65;ERCİŞ;2022-09-03 08:10:35.9781015
1310;10;ERDEK;2022-09-03 08:09:17.1612957
1311;33;ERDEMLİ;2022-09-03 08:12:56.6558612
1312;42;EREĞLİ;2022-09-03 08:10:56.7875049
1313;67;EREĞLİ;2022-09-03 08:09:14.8901395
1314;57;ERFELEK;2022-09-03 08:09:16.0741711
1315;21;ERGANİ;2022-09-03 08:10:07.7634345
1316;70;ERMENEK;2022-09-03 08:09:45.0756612
1317;56;ERUH;2022-09-03 08:10:38.3791758
1318;24;MERKEZ;2022-09-03 08:09:46.4483933
1320;28;ESPİYE;2022-09-03 08:09:53.1283673
1321;78;ESKİPAZAR;2022-09-03 08:10:10.3335707
1323;64;EŞME;2022-09-03 08:09:52.0557484
1324;28;EYNESİL;2022-09-03 08:09:19.3212054
1325;34;EYÜPSULTAN;2022-09-03 08:12:04.3109765
1326;17;EZİNE;2022-09-03 08:09:43.4053791
1327;34;FATİH;2022-09-03 08:09:37.4342259
1328;52;FATSA;2022-09-03 08:11:12.4114226
1329;1;FEKE;2022-09-03 08:12:36.3918431
1330;38;FELAHİYE;2022-09-03 08:09:49.0048068
1331;48;FETHİYE;2022-09-03 08:11:07.5020841
1332;53;FINDIKLI;2022-09-03 08:10:23.9781658
1333;7;FİNİKE;2022-09-03 08:12:17.1148961
1334;35;FOÇA;2022-09-03 08:11:22.2719312
1336;34;GAZİOSMANPAŞA;2022-09-03 08:10:03.8112944
1337;7;GAZİPAŞA;2022-09-03 08:09:38.1389172
1338;41;GEBZE;2022-09-03 08:12:27.7434360
1339;43;GEDİZ;2022-09-03 08:13:06.1356218
1340;17;GELİBOLU;2022-09-03 08:09:49.3671634
1341;32;GELENDOST;2022-09-03 08:12:28.1912028
1342;58;GEMEREK;2022-09-03 08:10:24.6212881
1343;16;GEMLİK;2022-09-03 08:10:35.3787442
1344;12;GENÇ;2022-09-03 08:11:21.6546568
1345;72;GERCÜŞ;2022-09-03 08:12:15.0994665
1346;14;GEREDE;2022-09-03 08:10:10.6328831
1347;2;GERGER;2022-09-03 08:11:36.9176380
1348;9;GERMENCİK;2022-09-03 08:09:53.9451427
1349;57;GERZE;2022-09-03 08:12:38.5808724
1350;65;GEVAŞ;2022-09-03 08:10:57.3148657
1351;54;GEYVE;2022-09-03 08:09:47.6548628
1352;28;MERKEZ;2022-09-03 08:13:02.6968973
1353;46;GÖKSUN;2022-09-03 08:11:39.8650053
1354;2;GÖLBAŞI;2022-09-03 08:11:43.1251764
1355;41;GÖLCÜK;2022-09-03 08:10:53.9846850
1356;75;GÖLE;2022-09-03 08:09:29.4281837
1357;15;GÖLHİSAR;2022-09-03 08:11:23.0409389
1358;52;GÖLKÖY;2022-09-03 08:09:59.3280304
1359;11;GÖLPAZARI;2022-09-03 08:12:33.7944525
1360;10;GÖNEN;2022-09-03 08:12:23.9910477
1361;28;GÖRELE;2022-09-03 08:12:30.5962702
1362;45;GÖRDES;2022-09-03 08:10:16.6522886
1363;5;GÖYNÜCEK;2022-09-03 08:11:13.6532091
1364;14;GÖYNÜK;2022-09-03 08:09:43.1474654
1365;6;GÜDÜL;2022-09-03 08:10:21.7254882
1366;33;GÜLNAR;2022-09-03 08:12:06.4652519
1367;50;GÜLŞEHİR;2022-09-03 08:09:50.9447773
1368;5;GÜMÜŞHACIKÖY;2022-09-03 08:11:59.1547026
1369;29;MERKEZ;2022-09-03 08:09:37.8794546
1370;7;GÜNDOĞMUŞ;2022-09-03 08:12:56.9072173
1371;20;GÜNEY;2022-09-03 08:09:47.8875349
1372;65;GÜRPINAR;2022-09-03 08:09:25.3792961
1373;58;GÜRÜN;2022-09-03 08:13:16.1887608
1374;50;HACIBEKTAŞ;2022-09-03 08:11:43.5573822
1375;42;HADİM;2022-09-03 08:10:39.9947348
1376;58;HAFİK;2022-09-03 08:13:05.5756515
1377;30;MERKEZ;2022-09-03 08:12:18.3937501
1378;63;HALFETİ;2022-09-03 08:12:49.5868177
1379;4;HAMUR;2022-09-03 08:10:12.1892602
1380;75;HANAK;2022-09-03 08:12:48.2507225
1381;21;HANİ;2022-09-03 08:13:13.1382217
1382;31;HASSA;2022-09-03 08:09:56.8753708
1384;10;HAVRAN;2022-09-03 08:10:01.6177380
1385;22;HAVSA;2022-09-03 08:11:47.8655003
1386;55;HAVZA;2022-09-03 08:10:43.1596267
1387;6;HAYMANA;2022-09-03 08:10:18.9666168
1388;59;HAYRABOLU;2022-09-03 08:09:25.8970369
1389;21;HAZRO;2022-09-03 08:11:30.2406962
1390;44;HEKİMHAN;2022-09-03 08:12:11.2515751
1391;54;HENDEK;2022-09-03 08:09:59.0688848
1392;25;HINIS;2022-09-03 08:13:03.4824224
1393;63;HİLVAN;2022-09-03 08:11:16.6547922
1394;13;HİZAN;2022-09-03 08:10:27.8932424
1395;8;HOPA;2022-09-03 08:12:55.3907047
1396;25;HORASAN;2022-09-03 08:13:11.7933406
1397;62;HOZAT;2022-09-03 08:09:42.9621400
1398;76;MERKEZ;2022-09-03 08:11:51.3345351
1399;18;ILGAZ;2022-09-03 08:11:48.0774086
1400;42;ILGIN;2022-09-03 08:13:06.6470700
1401;32;MERKEZ;2022-09-03 08:10:37.2094594
1403;73;İDİL;2022-09-03 08:11:12.8388833
1404;3;İHSANİYE;2022-09-03 08:11:20.3824895
1405;53;İKİZDERE;2022-09-03 08:10:48.2695260
1406;24;İLİÇ;2022-09-03 08:13:13.9683282
1407;58;İMRANLI;2022-09-03 08:11:52.2319743
1408;17;GÖKÇEADA;2022-09-03 08:10:55.0298838
1409;38;İNCESU;2022-09-03 08:10:28.9230298
1410;37;İNEBOLU;2022-09-03 08:12:24.7362792
1411;16;İNEGÖL;2022-09-03 08:10:38.7519346
1412;22;İPSALA;2022-09-03 08:10:05.8058197
1413;31;İSKENDERUN;2022-09-03 08:10:11.7171200
1414;19;İSKİLİP;2022-09-03 08:09:17.2472905
1415;27;İSLAHİYE;2022-09-03 08:11:33.8500015
1416;25;İSPİR;2022-09-03 08:11:54.4208647
1418;10;İVRİNDİ;2022-09-03 08:13:04.6555119
1420;16;İZNİK;2022-09-03 08:10:03.1796517
1421;34;KADIKÖY;2022-09-03 08:09:33.1117557
1422;42;KADINHANI;2022-09-03 08:10:21.8716220
1423;80;KADİRLİ;2022-09-03 08:11:29.2368914
1424;36;KAĞIZMAN;2022-09-03 08:11:53.7503210
1425;2;KAHTA;2022-09-03 08:09:31.0110218
1426;20;KALE;2022-09-03 08:13:18.6361656
1427;6;KALECİK;2022-09-03 08:10:26.9463266
1428;53;KALKANDERE;2022-09-03 08:10:01.7493869
1429;40;KAMAN;2022-09-03 08:09:19.2293730
1430;41;KANDIRA;2022-09-03 08:09:43.5770867
1431;58;KANGAL;2022-09-03 08:09:18.6632713
1432;35;KARABURUN;2022-09-03 08:10:58.0392870
1433;78;MERKEZ;2022-09-03 08:12:33.5338438
1434;16;KARACABEY;2022-09-03 08:11:15.5398836
1435;9;KARACASU;2022-09-03 08:10:30.7922613
1436;64;KARAHALLI;2022-09-03 08:10:40.3778071
1437;1;KARAİSALI;2022-09-03 08:10:44.8714878
1438;23;KARAKOÇAN;2022-09-03 08:10:04.8863632
1439;70;MERKEZ;2022-09-03 08:10:08.1348097
1440;41;KARAMÜRSEL;2022-09-03 08:09:57.4377094
1441;42;KARAPINAR;2022-09-03 08:09:16.5319242
1442;54;KARASU;2022-09-03 08:10:25.8503819
1443;1;KARATAŞ;2022-09-03 08:10:11.9994651
1444;25;KARAYAZI;2022-09-03 08:09:29.8311534
1445;19;KARGI;2022-09-03 08:13:06.9572773
1446;12;KARLIOVA;2022-09-03 08:12:30.0036110
1447;36;MERKEZ;2022-09-03 08:09:55.1051042
1448;35;KARŞIYAKA;2022-09-03 08:11:24.3088767
1449;34;KARTAL;2022-09-03 08:11:57.0459728
1450;37;MERKEZ;2022-09-03 08:12:12.5577313
1451;7;KAŞ;2022-09-03 08:10:55.7633663
1452;55;KAVAK;2022-09-03 08:12:22.9281609
1453;54;KAYNARCA;2022-09-03 08:09:28.1323872
1455;23;KEBAN;2022-09-03 08:10:02.1460065
1456;32;KEÇİBORLU;2022-09-03 08:10:45.5258713
1457;16;KELES;2022-09-03 08:09:27.8980899
1458;29;KELKİT;2022-09-03 08:10:59.3414803
1459;24;KEMAH;2022-09-03 08:10:52.5092220
1460;24;KEMALİYE;2022-09-03 08:13:02.9739934
1461;35;KEMALPAŞA;2022-09-03 08:11:45.8122671
1462;10;KEPSUT;2022-09-03 08:11:04.2687020
1463;71;KESKİN;2022-09-03 08:09:15.1011200
1464;22;KEŞAN;2022-09-03 08:10:47.3861116
1465;28;KEŞAP;2022-09-03 08:12:48.5657212
1466;14;KIBRISCIK;2022-09-03 08:09:37.5612951
1467;35;KINIK;2022-09-03 08:10:53.0799767
1468;31;KIRIKHAN;2022-09-03 08:11:48.2920000
1469;71;MERKEZ;2022-09-03 08:10:25.6950105
1470;45;KIRKAĞAÇ;2022-09-03 08:09:32.9226928
1471;39;MERKEZ;2022-09-03 08:12:59.9640777
1472;40;MERKEZ;2022-09-03 08:10:56.5598869
1473;6;KIZILCAHAMAM;2022-09-03 08:12:12.1566207
1474;47;KIZILTEPE;2022-09-03 08:10:22.5214051
1475;12;KİĞI;2022-09-03 08:12:19.9289606
1476;79;MERKEZ;2022-09-03 08:09:31.4260844
1477;35;KİRAZ;2022-09-03 08:10:42.0300972
1479;9;KOÇARLI;2022-09-03 08:11:26.0580171
1480;39;KOFÇAZ;2022-09-03 08:12:17.3459964
1482;52;KORGAN;2022-09-03 08:12:40.7562928
1483;7;KORKUTELİ;2022-09-03 08:12:53.2785999
1484;58;KOYULHİSAR;2022-09-03 08:12:41.0509449
1485;50;KOZAKLI;2022-09-03 08:09:58.1905685
1486;1;KOZAN;2022-09-03 08:11:26.3040294
1487;72;KOZLUK;2022-09-03 08:09:29.6198667
1488;48;KÖYCEĞİZ;2022-09-03 08:12:08.6321319
1489;45;KULA;2022-09-03 08:10:17.1185219
1490;21;KULP;2022-09-03 08:09:15.9965665
1491;42;KULU;2022-09-03 08:12:29.2432718
1492;7;KUMLUCA;2022-09-03 08:09:14.3826930
1493;52;KUMRU;2022-09-03 08:10:31.1088115
1494;18;KURŞUNLU;2022-09-03 08:09:40.8440808
1495;56;KURTALAN;2022-09-03 08:11:01.6737954
1496;74;KURUCAŞİLE;2022-09-03 08:12:45.9023220
1497;9;KUŞADASI;2022-09-03 08:12:29.7199605
1498;9;KUYUCAK;2022-09-03 08:10:49.9402454
1499;37;KÜRE;2022-09-03 08:13:08.1267348
1500;43;MERKEZ;2022-09-03 08:11:05.8105568
1501;55;LADİK;2022-09-03 08:13:12.5864018
1502;22;LALAPAŞA;2022-09-03 08:11:22.0735607
1503;17;LAPSEKİ;2022-09-03 08:11:49.3587511
1504;21;LİCE;2022-09-03 08:11:08.0544617
1505;39;LÜLEBURGAZ;2022-09-03 08:11:48.5083120
1506;23;MADEN;2022-09-03 08:12:55.1491550
1507;61;MAÇKA;2022-09-03 08:10:02.0121646
1508;26;MAHMUDİYE;2022-09-03 08:09:32.2816211
1510;49;MALAZGİRT;2022-09-03 08:12:06.6972683
1511;59;MALKARA;2022-09-03 08:11:35.2501362
1512;7;MANAVGAT;2022-09-03 08:12:45.0774597
1514;10;MANYAS;2022-09-03 08:09:33.7659587
1517;48;MARMARİS;2022-09-03 08:12:49.0883056
1518;62;MAZGİRT;2022-09-03 08:11:15.1211783
1519;47;MAZIDAĞI;2022-09-03 08:11:11.6696255
